school_id,teach_id,child_id,lit_pretest,math_pretest,lit_posttest,math_posttest,ses,female,black,hisp,asian,nohsdip,ba,maprofdeg,nonenghome,pct_frpl,private,fullday
0194,0194T03,0194021C,24.88,12.92,35.07,23.89,-0.33,0,0,0,0,0,0,0,0,59.18,0,0
0089,0089T04,0089013C,29.44,20.07,40.35,29.75,0.77,1,0,0,0,0,1,0,0,13.1,0,1
0343,0343T01,0343024C,33.35,31.59,67.49,52.89,0.17,1,0,0,0,0,0,0,0,3.78,1,0
0282,0282T02,0282017C,29.45,25.65,30.71,29.47,0.98,0,0,0,0,0,1,0,0,,0,0
0855,0855T01,0855020C,42.5,34.97,40.71,34.78,0.06,0,0,0,0,0,0,0,0,20.34,0,1
0155,0155T01,0155009C,31.67,29.11,49.47,55.58,0.84,0,0,1,0,0,1,0,0,0,1,1
3031,3031T03,3031022C,34.07,18.11,39.41,25.92,-0.38,0,0,0,0,0,0,0,0,21.41,0,0
0155,0155T01,0155005C,41.58,37.38,63.36,42.51,1.29,0,0,0,0,0,0,1,0,0,1,1
3072,3072T01,3072012C,32.93,30.62,43.54,42.77,-0.09,1,0,0,0,0,0,0,0,23.57,0,0
1092,1092T03,1092024C,35.17,24.99,50.02,47.31,,1,0,0,0,,,,0,65.66,0,0
0028,0028T01,0028011C,31.51,25.98,47.57,31.8,-0.39,0,0,0,0,0,0,0,0,0,1,1
1186,1186T02,1186005C,40.23,28.51,48.28,41.57,0.07,1,1,0,0,0,0,0,0,,1,1
0114,0114T03,0114018C,22.46,12.73,29.72,18.53,-0.34,0,0,1,0,0,0,0,0,,0,
1245,1245T02,1245011C,42.09,32.26,49.92,42.21,-0.97,1,0,1,0,0,1,0,0,5.45,0,0
0464,0464T03,0464023C,25.79,16.63,28.47,22.5,-0.92,1,0,1,0,0,0,0,0,27.51,0,1
0913,0913T02,0913002C,25.48,15.8,30.06,27.67,-0.52,0,0,1,0,0,0,0,0,,0,1
0011,0011T01,0011008C,33.37,29.47,36.36,33.18,-0.11,0,0,0,0,0,0,0,0,17.21,0,0
0279,0279T01,0279008C,82.63,46.17,100.34,56.48,0.97,1,0,0,1,0,1,0,1,,1,
0707,0707T02,0707010C,120.33,58.85,132.38,85.92,1.85,1,0,1,0,0,0,1,1,,0,1
0755,0755T01,0755014C,32.79,27,40.55,27.75,-0.38,0,0,0,0,0,0,0,0,,0,1
1223,1223T02,1223005C,23.43,19.26,38.14,25.95,-0.48,0,0,1,0,1,0,0,0,67.36,0,0
0869,0869T01,0869005C,,,33.96,23.52,0.05,0,0,0,0,0,0,0,,20.16,0,0
0926,0926T02,0926010C,26.85,18.12,31.14,20.56,-0.66,0,1,0,0,0,0,0,0,,0,1
0803,0803T01,0803009C,28.76,24.82,38.63,28.62,-0.75,1,0,0,0,0,0,0,0,51.34,0,0
1100,1100T03,1100004C,,,40.44,36.25,-1.16,1,0,0,1,1,0,0,1,79.38,0,0
3038,3038T01,3038008C,39.45,33.93,47.3,49.69,,1,0,0,0,,,,0,47.65,0,
1136,1136T03,1136020C,34.36,32.67,48.91,49.09,0.55,0,0,0,1,0,1,0,0,,0,0
2132,2132T01,2132011C,34.44,30.23,45.74,35.39,1.35,1,0,0,0,0,0,1,0,5.62,1,1
2092,2092T01,2092006C,34.71,26.55,42.34,45.99,-0.3,0,0,1,0,0,0,0,0,,1,1
0555,0555T03,0555024C,23.98,20.36,28.28,21.55,0.14,0,0,0,0,0,0,0,0,1.08,0,0
0667,0667T02,0667011C,27.5,16.95,39.5,27.12,-0.24,0,0,0,0,0,0,0,0,15.93,0,1
0942,0942T04,0942022C,,23.48,55.70038,33.64,-0.53,1,0,1,0,0,0,0,1,,0,1
0605,0605T03,0605005C,39.48,23.46,43.87,36.71,0.08,1,1,0,0,0,1,0,0,27.03,0,1
0044,0044T02,0044014C,48.09,28.18,55.52,48.13,0.55,1,0,0,0,0,1,0,0,2.26,0,1
0086,0086T03,0086015C,29.14,21.22,45.52,36.75,1.12,0,0,0,0,0,0,1,0,,0,1
1198,1198T01,1198004C,30.09,23.14,40.84,25.81,-0.49,0,0,1,0,0,0,0,0,,0,0
0680,0680T07,0680022C,47.89,40.65,51.19,44.84,0.96,1,0,0,0,0,1,0,0,20.59,0,1
0149,0149T07,0149020C,43.27,35.09,47.12,50.87,1.18,0,0,0,0,0,0,1,0,,1,1
1112,1112T03,1112021C,33.57,39.98,53.92,47.73,0.26,1,0,0,0,0,0,0,0,,0,0
1096,1096T02,1096006C,,,31.78411,25.04694,-4.18,0,0,0,1,0,0,0,1,71.97,0,0
3046,3046T01,3046001C,32.96,21.46,44.67,40.7,-0.51,0,0,0,1,0,0,0,1,13.55,0,0
1044,1044T03,1044010C,30.38,19.36,31.87,27.65,-0.59,0,0,1,0,1,0,0,0,14.17,0,1
1094,1094T01,1094010C,34.59,27.88,51.22,40.81,0.78,1,0,0,0,0,1,0,0,0,1,0
0649,0649T03,0649019C,42.34,32.41,51.19,46.81,-0.12,1,1,0,0,0,0,0,0,66.03,0,1
0249,0249T01,0249004C,,,51.81,56.59,0.64,0,0,1,0,0,0,0,,,1,0
0710,0710T02,0710024C,26.99,21.28,38.92,29.68,-0.65,0,1,0,0,0,0,0,0,,0,1
0243,0243T01,0243022C,32.25,21.45,45.57,26.66,-0.83,1,0,0,0,1,0,0,0,,1,1
0089,0089T03,0089007C,42.36,34.58,63.89,49.99,-0.38,0,0,0,0,0,0,0,0,13.1,0,1
1031,1031T02,1031022C,33.86,26.74,41.16,33.5,-0.79,1,0,0,0,0,0,0,0,36.28,0,0
1260,1260T06,1260012C,,15.41,53.34814,31.76,-0.91,1,0,1,0,1,0,0,1,71.04,0,
0954,0954T01,0954012C,,16.32,47.8234,22.88,1.18,1,0,1,0,0,1,0,1,,0,0
3041,3041T01,3041021C,,,60.74524,58.73934,-0.46,1,0,0,0,0,0,0,,49.29,0,1
0621,0621T04,0621015C,40.42,27.93,52.73,50.02,-0.39,1,0,0,0,0,0,0,0,19.88,0,1
1216,1216T01,1216001C,,,70.17,55,-0.19,1,0,0,1,0,0,0,1,,0,0
0851,0851T03,0851014C,,,36.07,29.68,,1,1,0,0,,,,,93,0,1
1216,1216T04,1216024C,,13.68,37.71172,26.97,-0.98,1,0,1,0,1,0,0,1,,0,0
0259,0259T02,0259015C,26.96,19.62,42.48,29.86,-0.54,0,0,0,0,0,0,0,0,,0,1
1155,1155T03,1155014C,,13.92,37.08833,23.22,-1.6,0,0,1,0,1,0,0,1,87.05,0,
0682,0682T01,0682007C,40.62,38.25,53.18,48.71,0.11,1,0,0,0,0,0,0,0,,1,0
0228,0228T01,0228012C,28.18,23.74,41.75,41.32,-0.41,0,0,0,0,0,0,0,0,13.51,1,1
0157,0157T01,0157027C,33.73,27.48,35.17,38.08,,0,1,0,0,,,,0,0,1,1
0706,0706T02,0706008C,24.65,12.04,34.72,23.41,-0.83,1,0,1,0,1,0,0,1,8.91,0,1
0013,0013T01,0013009C,39.02,37.89,56.48,49.45,1.62,0,0,0,0,0,0,1,0,0,1,1
1138,1138T01,1138021C,88.77,57.15,90.87,63.58,1.73,1,0,0,1,0,0,1,1,0,1,0
0053,0053T01,0053015C,30.32,21.86,39.93,27.25,0.91,1,0,0,0,0,1,0,0,.15,0,0
0335,0335T01,0335010C,28.16,20.49,41.37,45.7,-0.43,0,0,0,0,0,0,0,0,39.74,0,
0623,0623T01,0623009C,35.22,31.99,46.79,36.45,-0.07,0,0,0,0,0,0,0,0,56.64,0,1
0684,0684T07,0684020C,29.76,19.63,29.5519,32.1595,-0.48,0,0,0,0,0,0,0,0,,0,1
1086,1086T04,1086018C,26.62,19.44,40.49,29.18,-0.32,0,0,0,1,0,0,0,1,,0,0
0346,0346T02,0346003C,31.55,26.01,43.05,30.83,-0.83,0,1,0,0,0,0,0,0,18.11,0,0
0102,0102T01,0102009C,42.29,22.84,56.44,45.16,0.64,1,1,0,0,0,0,1,0,,0,1
0272,0272T03,0272020C,38.19,26.84,37.44,33.86,1.21,0,0,0,0,0,0,1,0,,0,0
0668,0668T02,0668007C,28.19,20.23,36.13,27.5,0.55,0,0,0,0,0,1,0,0,,1,1
0149,0149T05,0149016C,36.63,34.07,50.11,48.17,0.9,1,0,0,0,0,1,0,0,,1,1
0049,0049T07,0049012C,,,28.57,16.36,-0.66,0,0,1,0,0,0,0,,,0,0
0105,0105T03,0105022C,,,32.73,22.69,,0,0,0,0,,,,0,31.52,0,
0089,0089T01,0089016C,34.28,16.4,46.79,23.66,0.17,0,0,0,0,0,1,0,0,13.1,0,1
0344,0344T01,0344013C,26.71,26.21,31.07,33.58,-0.5,0,0,0,0,0,0,0,0,28.53,0,0
0676,0676T03,0676012C,35.26,38.89,38.74,50.68,-0.61,0,0,0,0,0,0,0,0,23.09,0,1
0804,0804T03,0804020C,46.62,34.9,58.19,55.96,-0.14,1,0,0,0,0,0,0,0,55.46,0,1
0896,0896T09,0896012C,,15.22,28.27,26.38,-1.05,0,0,1,0,1,0,0,1,,0,1
1107,1107T07,1107024C,51.68,41.15,69.27,65.4,0.84,1,0,0,0,0,0,1,0,3.7,0,0
0593,0593T01,0593005C,27.03,17.04,34.25,24.5,-0.73,0,1,0,0,1,0,0,0,28.11,0,1
0023,0023T01,0023007C,28.55,19.77,38.52,27.43,0.03,0,0,0,0,0,0,0,0,29.5,0,0
0007,0007T01,0007011C,27.51,19.83,37.09,28.14,-0.66,0,0,0,0,0,0,0,0,2.11,1,0
0362,0362T01,0362001C,26.37,20.19,29.06,27.58,-0.56,0,0,0,0,0,0,0,0,13.68,0,1
3054,3054T02,3054022C,38.15,25.58,51.84,40.34,,1,0,1,0,,,,1,,0,
0245,0245T01,0245015C,35.77,31.12,51.24,50.02,0.09,1,0,0,0,0,0,0,0,12.91,0,0
0642,0642T03,0642003C,36.38,30,46.12,38.95,-0.11,0,0,0,0,0,0,0,0,21.76,0,1
1221,1221T03,1221011C,50.9,29.95,69.78,37.71,1.35,0,0,0,0,0,0,1,0,,0,0
0310,0310T03,0310021C,33.39,17.17,39.5,22.07,-0.77,0,1,0,0,0,0,0,0,,0,
